epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.774,2.39317,3.87579,1.9803,0.00127,0.38229,0.02577,0.00651,3.79588,5.65031,2.76555,0.000645833,0.000645833,0.000645833
2,561.792,1.99823,3.04503,1.61451,0.35503,0.17304,0.17394,0.05806,2.14883,3.82778,1.93763,0.00122587,0.00122587,0.00122587
3,757.732,1.93309,2.79193,1.58946,0.29152,0.20523,0.16306,0.04777,2.30613,3.58399,2.40549,0.00171792,0.00171792,0.00171792
4,951.242,1.94136,2.67316,1.58646,0.13678,0.13078,0.05307,0.01507,3.18808,3.65764,2.52283,0.001604,0.001604,0.001604
5,1155.87,1.8872,2.51064,1.60296,0.29658,0.3662,0.23748,0.08195,2.0705,3.136,1.96028,0.001472,0.001472,0.001472
6,1418.57,1.85502,2.48874,1.5984,0.22406,0.48491,0.2992,0.11327,1.91564,13.3628,2.08649,0.00134,0.00134,0.00134
7,1678.59,1.75922,2.17585,1.54681,0.40813,0.48893,0.43285,0.16454,1.9401,3.35372,1.84051,0.001208,0.001208,0.001208
8,1922.87,1.7186,2.05157,1.5456,0.48198,0.5674,0.54338,0.24555,1.62219,2.01096,1.47962,0.001076,0.001076,0.001076
9,2152.7,1.65901,1.86816,1.45108,0.57365,0.66801,0.61556,0.28984,1.62244,1.77892,1.44256,0.000944,0.000944,0.000944
10,2569.34,1.68848,1.8498,1.47799,0.58129,0.64386,0.61165,0.28597,1.6266,1.74539,1.41912,0.000812,0.000812,0.000812
11,2981.35,1.63821,1.72643,1.45952,0.60433,0.63616,0.62171,0.23634,1.79805,1.83036,1.48232,0.00068,0.00068,0.00068
12,3265.75,1.57048,1.6333,1.4259,0.7055,0.7163,0.7961,0.40597,1.48705,1.46758,1.35505,0.000548,0.000548,0.000548
13,3566.01,1.482,1.54151,1.35577,0.72922,0.74775,0.81496,0.45423,1.38992,1.42236,1.31822,0.000416,0.000416,0.000416
14,3860.12,1.41269,1.45988,1.33485,0.82406,0.7505,0.85085,0.45919,1.37895,1.34468,1.28659,0.000284,0.000284,0.000284
15,4156.09,1.38528,1.36913,1.30472,0.81112,0.80358,0.87408,0.49951,1.32136,1.26664,1.26239,0.000152,0.000152,0.000152
